age,age_expected_death
0,79.3
1,79.7
2,79.74
3,79.75
4,79.77
5,79.78
6,79.79
7,79.79
8,79.8
9,79.81
10,79.82
11,79.82
12,79.83
13,79.84
14,79.85
15,79.86
16,79.88
17,79.9
18,79.92
19,79.94
20,79.97
21,80
22,80.03
23,80.07
24,80.11
25,80.15
26,80.19
27,80.23
28,80.28
29,80.33
30,80.38
31,80.44
32,80.5
33,80.56
34,80.62
35,80.69
36,80.76
37,80.83
38,80.91
39,80.98
40,81.07
41,81.15
42,81.24
43,81.33
44,81.42
45,81.52
46,81.62
47,81.73
48,81.84
49,81.95
50,82.07
51,82.2
52,82.33
53,82.47
54,82.62
55,82.77
56,82.93
57,83.1
58,83.27
59,83.46
60,83.65
61,83.86
62,84.07
63,84.29
64,84.52
65,84.75
66,84.99
67,85.23
68,85.48
69,85.74
70,86
71,86.27
72,86.56
73,86.85
74,87.16
75,87.49
76,87.83
77,88.19
78,88.57
79,88.96
80,89.38
81,89.81
82,90.26
83,90.73
84,91.21
85,91.72
86,92.26
87,92.82
88,93.41
89,94.02
90,94.65
91,95.31
92,95.99
93,96.71
94,97.45
95,98.22
96,99.01
97,99.82
98,100.66
99,101.5
100,102.35
101,103.21
102,104.08
103,104.95
104,105.82
105,106.71
106,107.59
107,108.49
108,109.39
109,110.29
110,111.2
111,112.11
112,113.03
113,113.95
114,114.88
115,115.82
116,116.76
117,117.7
118,118.65
119,119.6
